,name of movie,year of released,duration,rating,metascore,votes,gross of movie
0,The Shawshank Redemption,1994,142,***,82,"2,747,108",$28.34M
1,The Godfather,1972,175,***,100,"1,910,608",$134.97M
2,Spider-Man: Across the Spider-Verse,2023,140,***,86,"41,405",#18
3,The Dark Knight,2008,152,***,84,"2,719,723",$534.86M
4,Schindler's List,1993,195,***,95,"1,385,749",$96.90M
5,The Godfather Part II,1974,202,***,90,"1,301,563",$57.30M
6,12 Angry Men,1957,96,***,97,"813,405",$4.36M
7,The Lord of the Rings: The Return of the King,2003,201,***,94,"1,887,978",$377.85M
8,Pulp Fiction,1994,154,***,95,"2,110,819",$107.93M
9,Inception,2010,148,***,74,"2,414,283",$292.58M
10,Fight Club,1999,139,***,66,"2,187,547",$37.03M
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,***,92,"1,916,591",$315.54M
12,Forrest Gump,1994,142,***,82,"2,137,270",$330.25M
13,"Il buono, il brutto, il cattivo",1966,161,***,90,"777,565",$6.10M
14,The Lord of the Rings: The Two Towers,2002,179,***,87,"1,704,052",$342.55M
15,Jai Bhim,2021,164,***,***,"206,907",#235
16,777 Charlie,2022,136,***,***,"34,882",###
17,Rocketry: The Nambi Effect,2022,157,***,***,"53,506",###
18,Interstellar,2014,169,***,74,"1,912,043",$188.02M
19,GoodFellas,1990,145,***,92,"1,192,298",$46.84M
20,The Matrix,1999,136,***,73,"1,958,804",$171.48M
21,One Flew Over the Cuckoo's Nest,1975,133,***,84,"1,029,198",$112.00M
22,Star Wars: Episode V - The Empire Strikes Back,1980,124,***,82,"1,321,734",$290.48M
23,Soorarai Pottru,2020,153,***,***,"119,537",###
24,The Green Mile,1999,189,***,61,"1,335,814",$136.80M
25,Se7en,1995,127,***,65,"1,698,621",$100.13M
26,The Silence of the Lambs,1991,118,***,86,"1,468,274",$130.74M
27,Star Wars,1977,121,***,90,"1,394,194",$322.74M
28,Saving Private Ryan,1998,169,***,91,"1,424,059",$216.54M
29,Sen to Chihiro no kamikakushi,2001,125,***,96,"790,366",$10.06M
30,Terminator 2: Judgment Day,1991,137,***,75,"1,123,568",$204.84M
31,Cidade de Deus,2002,130,***,79,"771,181",$7.56M
32,La vita è bella,1997,116,***,59,"711,423",$57.60M
33,Shichinin no samurai,1954,207,***,98,"352,957",$0.27M
34,It's a Wonderful Life,1946,130,***,89,"472,296",#21
35,Seppuku,1962,133,***,85,"61,036",#46
36,Sita Ramam,2022,163,***,***,"59,998",###
37,Gisaengchung,2019,132,***,96,"855,650",$53.37M
38,The Departed,2006,151,***,85,"1,356,908",$132.38M
39,Whiplash,2014,106,***,89,"905,297",$13.09M
40,Léon,1994,110,***,64,"1,189,943",$19.50M
41,Back to the Future,1985,116,***,87,"1,239,418",$210.61M
42,Gladiator,2000,155,***,67,"1,536,856",$187.71M
43,The Prestige,2006,130,***,66,"1,365,130",$53.09M
44,Alien,1979,117,***,89,"903,727",$78.90M
45,Casablanca,1942,102,***,100,"583,751",$1.02M
46,The Lion King,1994,88,***,88,"1,085,912",$422.78M
47,American History X,1998,119,***,62,"1,143,713",$6.72M
48,The Pianist,2002,150,***,85,"856,626",$32.57M
49,The Usual Suspects,1995,106,***,77,"1,104,810",$23.34M
